image,iou
1-1-109,0.7089225929168198
1-1-127,0.9640524931751109
1-1-141,0.8446738369496153
1-1-145,0.8922105261213891
1-1-16,0.8415631816563385
1-1-189,0.9173407424926567
1-1-189,0.8927329481463311
1-1-19,0.8807832249689374
1-1-19,0.8082527332769739
1-1-2,0.861259347193099
1-1-200,0.6165400728905632
1-1-224,0.8296906839379997
1-1-229,0.8302369638367425
1-1-229,0.8404007149812419
1-1-241,0.8707147770263434
1-1-249,0.8981532798298185
1-1-249,0.8427899352312267
1-1-260,0.9588215082886307
1-1-268,0.7904039022926082
1-1-283,0.7202443316513037
1-1-288,0.883117388981338
1-1-296,0.8436421123733251
1-1-296,0.9273057721733625
1-1-32,0.7405159806677144
1-1-37,0.7645461141100961
1-1-41,0.786760061482794
1-1-51,0.7799577111330039
1-1-52,0.7131921914915129
1-1-53,0.5415799607376945
1-1-53,0.5593815599438701
1-1-67,0.807250016468463
1-1-67,0.8230980597117785
1-1-69,0.678551205524666
1-1-72,0.8209295513627857
1-1-73,0.7212098322139545
1-1-81,0.7591317983161996
1-1-98,0.6709688173886842
11053-B-02_0,0.6480097603319784
15459-B-01_0,0.49235255296259517
2-1-,0.8687664937664937
2-1-3,0.8202416658825098
2-1-47,0.9014644793936375
2-1-5,0.9599440509837399
2-1-62,0.9777973935933902
2-1-63,0.7386565583174144
2-1-65,0.9670684131638155
2-1-67,0.8789488621174468
3-2-85,0.8389028068835909
3-2-86,0.8960480235209237
3-2-86,0.7731034178242137
3-2-91,0.8596359446332462
4-1-103,0.7270817552329122
4-1-108,0.8122522815705103
4-1-143,0.8704584164270786
4-1-164,0.9582399839186289
4-1-164,0.8686955598208967
4-1-170,0.7479236570817044
4-1-18,0.8360106525170498
4-1-190,0.804052926857148
4-1-190,0.8925303155929389
4-1-194,0.9579056031602929
4-1-198,0.8214586103805646
4-1-215,0.8403761992200007
4-1-215,0.7610350982079319
4-1-65,0.8799321959447092
4-1-68,0.7046450050862704
4-1-76,0.7471852610030707
4-1-76,0.9045961133955451
4-1-80,0.5469494190613025
4-1-88,0.9000238830120937
4-2-168,0.451226631395785
4-2-168,0.8065195823270253
4-2-245,0.6372270248785881
4-2-258,0.8414702671172976
4-2-258,0.9175182122112491
4-2-334,0.7626304557584894
4-2-353,0.9122689808307697
4-2-420,0.9060720957083842
4-2-484,0.9280887093041572
4-2-503,0.7874609507280018
4-2-503,0.7987108569101407
4-2-512,0.7756656518916027
4-2-52,0.8871698987233276
4-2-621,0.8918704468840831
4-2-680,0.9198504984429029
4-2-680,0.5295925430544628
4-2-697,0.7008243152709358
5-1-23,0.7421216575238243
5-1-23,0.8717506317602662
5-1-34,0.9159855068873127
5-1-34,0.872745252624498
5-1-48,0.8088003656504783
5-1-56,0.8340296202531646
5-1-66,0.927087092285151
5-2-106,0.9372862239750381
5-2-120,0.8675944383335563
5-2-230,0.8450989534033297
5-2-289,0.8796903092783509
5-2-289,0.9167958840579706
5-2-341,0.8985989704766076
5-2-345,0.7877504850495958
5-2-363,0.8182326129932621
5-2-369,0.9595845924946754
5-2-439,0.8044743826377564
5-2-439,0.8140322271921596
5-2-439,0.8426975878424355
5-2-447,0.8796721853108976
5-2-474,0.8647435260981237
5-2-576,0.932435727290701
5-2-58,0.8638373813116039
5-2-614,0.8493516643707237
5-2-625,0.8113717471564025
5-2-661,0.8990873144827782
5-2-73,0.9276732092347487
5-2-751,0.8642828597869151
6-1-16,0.8091879535902028
6-1-19,0.7423752369945164
6-1-19,0.8184134849989922
6-1-21,0.756766428353022
6-2-124,0.7804864475693274
6-2-131,0.9670966127412695
6-2-144,0.842981408045977
6-2-144,0.8098210899138374
6-2-144,0.9569093690232356
6-2-157,0.8452230377490582
6-2-168,0.8708906507611804
6-2-168,0.8736609365034481
6-2-215,0.865979759150569
6-2-256,0.7635540641488969
6-2-5,0.8096150139724709
6-2-50,0.9632717433448118
6-2-53,0.8707882720773199
6-2-53,0.9065099566633894
6-2-68,0.8381654818631522
6-2-78,0.9316609831605083
6-2-80,0.8077526315789474
6-2-81,0.8162928614837412
6-2-83,0.9543420893942482
7-1-13,0.7887393036124944
7-1-18,0.8912718821938372
7-1-18,0.8215955114373878
7-1-18,0.8269727552431546
7-1-21,0.7405935208527283
7-1-21,0.8053523118085529
7-1-21,0.7179902973693474
7-1-32,0.8385676141710092
7-2-100,0.8066892071998765
7-2-119,0.8715175756388378
7-2-131,0.8187939130909492
7-2-30,0.9282406040558565
7-2-37,0.9400773316687165
7-2-86,0.6312817333333333
