filename,instance_idx,tmax,pmax
1-1-109_jpg.rf.da7ed7e5b519c9060721c0ef613d2d26,0,0.0,0.0
1-1-127_jpg.rf.e69f5e68d5113bd9c79026da5b0e5dc5,0,0.07179719967253788,0.08206003084271049
1-1-141_jpg.rf.d7b5048ad008fe7807256ab2a03f5ed2,0,0.19429709358343694,0.24480867463587658
1-1-145_jpg.rf.951d7dc3f96afb0de4604dc40a4c17c7,0,0.16738584095974207,0.14184696215247614
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4,0,0.3331313263602681,0.08631699334019415
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,0.09134254217839005,0.10312586842563007
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,0.04461625506325861,0.060414097837206845
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,0.0,0.046577174534219515
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,0.0,0.04228024387690523
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,0.0,0.0
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,0.1081600543681628,0.09957729958476341
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,0.08339630058076743,0.02371234378091816
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,0.04341042030582938,0.07812221926629183
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,0.044558302897187214,0.0774369411251491
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,0,0.015497954052723566,0.007724813411009703
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,1,0.06872993000636315,0.0
1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969,0,0.05026735397427503,0.014219477930458661
1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7,0,0.01500703216474896,0.06322455897764728
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,0.0920815721411202,0.11393748958349374
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,0.0,0.0056347046784568896
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,0.032173287619334266,0.06622203729225712
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,1,0.0,0.01346240610564097
1-1-2_jpg.rf.6a4d644c96cba77436d6f06331758b3b,0,0.06616157888073776,0.0
1-1-32_jpg.rf.9414076b270f2b46a68890c2ccce6e97,0,0.0,0.04712082945188268
1-1-37_jpg.rf.e9b574dfa79a5ae6221543cf792a6cff,0,0.09260573958472197,0.05269080296696137
1-1-41_jpg.rf.db53159c7083ee3b171aa93d1d8d2d17,0,0.05764715005481652,0.031160361847597785
1-1-51_jpg.rf.e86b199bd9377617267d3c0df4d4b6bf,0,0.10608743177826988,0.13317637687070838
1-1-52_jpg.rf.4fa6a412ad5ccf565ae00102ec26ce38,0,0.0,0.0326811428686552
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,0,0.0,0.0
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,1,0.0,0.0
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,0,0.01532653687460877,0.1106021777310798
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,1,0.02192742488718775,0.09124089673344477
1-1-69_jpg.rf.8f22e863c1d1c93963a04d9f321ab54d,0,0.0,0.02698991723430004
1-1-72_jpg.rf.65661d99090c08804adc7cf95aa21c14,0,0.020266390480061566,0.039314512418471795
1-1-73_jpg.rf.9e7cb924fada67d0ea54ddb48c516fbd,0,0.0,0.0
1-1-81_jpg.rf.c017f05100dc8b53236a8343d8076cf1,0,0.08136197263941124,0.054631530372667235
1-1-98_jpg.rf.48a5b29ce36aac7f868f30e3edb51813,0,0.0,0.1188113217042291
11053-B-02_0_jpg.rf.225d1a87c5a6154e3fd211e9503ac2ba,0,0.21170650918520756,0.27250918586904727
15459-B-01_0_jpg.rf.fbfab2000bda97069795ff68e3dbe0a3,0,0.04459624715643864,0.07257460463633308
2-1-3_jpg.rf.600c3d0e8a0e8d03c9a9bda9ef0dadae,0,0.0,0.0
2-1-47_jpg.rf.cbc5206f1e30668471fc9277e8e50a61,0,0.0,0.0
2-1-5_jpg.rf.252d8507e25e45ff9d501ec983a9b595,0,0.023405915761809604,0.04077373495558547
2-1-62_jpg.rf.cb5c0cc1e10dcd80fa1140fcb2944c8e,0,0.0,0.0214258999293733
2-1-63_jpg.rf.5c93a08c867833beeb2383013ab66e65,0,0.0,0.02544503404588789
2-1-65_jpg.rf.7e8366b4605bf1d968e106ad77a38bef,0,0.0014158598259893546,0.037044897428364615
2-1-67_jpg.rf.f7242e97204b3f5fcb56564691d3c147,0,0.0,0.0
2-1-_jpg.rf.e7927f3070cffd724a65038c17c1848d,0,0.0643207511741134,0.04030115016615545
3-2-85_jpg.rf.a0abf6f74d3b7ecebec16e701933484b,0,0.17251537947741397,0.19994162024142648
3-2-86_jpg.rf.ee7a35eaecc04fe892e7b09ba9239351,0,0.5520230353579932,0.37741722130842775
3-2-86_jpg.rf.ee7a35eaecc04fe892e7b09ba9239351,1,0.35708282370543915,0.29199078729264416
3-2-91_jpg.rf.1dbee6dfcf90e5e4f4eaad576e51d072,0,0.0,0.22184082132611418
4-1-103_jpg.rf.272bd27d042ea087a20e2ce66f924ce4,0,0.04398728422108396,0.03292526263171606
4-1-108_jpg.rf.4482fffbd0f7474154373d8ef007411a,0,0.290444747041964,0.022714289550372073
4-1-143_jpg.rf.20ef2202ecb10552c11780789c735237,0,0.060629047537326154,0.059414692623548634
4-1-164_jpg.rf.db3448d546f675d0f4911b3093bd50cd,0,0.13215299592180896,0.17454735787216905
4-1-164_jpg.rf.db3448d546f675d0f4911b3093bd50cd,1,0.18028830299643794,0.2416341564383582
4-1-170_jpg.rf.17b24472dc6f0d864b1064450f36f057,0,0.04816164999940751,0.003009545248657776
4-1-18_jpg.rf.4794a9f6a6ee80643dfb72c0ad04faf4,0,0.032392804505684124,0.01860454116951476
4-1-190_jpg.rf.462e9ac25c26eae6a3e5d3bd1eb33301,0,0.0,0.05165611681764955
4-1-190_jpg.rf.462e9ac25c26eae6a3e5d3bd1eb33301,1,0.22447725679203112,0.25023473347154757
4-1-194_jpg.rf.e5c027f61ab31e4c10b394e5c1721ad0,0,0.25625096451288626,0.265293833845472
4-1-198_jpg.rf.08d176713106124cee7d0611f88fdbad,0,0.27759921031349205,0.27109185697063276
4-1-215_jpg.rf.93a9b26903af6980f3228d2ad4075588,0,0.06160496961131632,0.0821206769419855
4-1-215_jpg.rf.93a9b26903af6980f3228d2ad4075588,1,0.1852232637882845,0.11747698262883421
4-1-65_jpg.rf.4cd9c4aa05a03bc48274ad476d924668,0,0.04194093367005888,0.045098484766263096
4-1-68_jpg.rf.b2bc1824cd912b30e0094f41e71eeb73,0,0.053562361520105156,0.04697298699461345
4-1-76_jpg.rf.a3b31287e3da123efe49f670a796d7f1,0,0.1744758413667739,0.1337381452001244
4-1-76_jpg.rf.a3b31287e3da123efe49f670a796d7f1,1,0.12532148375547975,0.11517808400288082
4-1-80_jpg.rf.701fdaddb9fc9142f3e9fc84d7e69dab,0,0.005036401375933978,0.0
4-1-88_jpg.rf.7ce8063a1ae0b1e8ad6d2799c6f46f16,0,0.18984207547664783,0.11842978345579795
4-2-168_jpg.rf.b3fd15d9c14084c34b6681b178016be5,0,0.06522998062087595,0.09671014675788105
4-2-168_jpg.rf.b3fd15d9c14084c34b6681b178016be5,1,0.08983817106070563,0.16426843550955142
4-2-245_jpg.rf.85dbcd832129b6e2213c403959436f60,0,0.00039041353331911553,0.02918312850083653
4-2-258_jpg.rf.95cc895fdfcf9823576071e3b5f4da03,0,0.16858329053052143,0.03151554587146885
4-2-258_jpg.rf.95cc895fdfcf9823576071e3b5f4da03,1,0.13470888529744324,0.06711638915926015
4-2-334_jpg.rf.52a31b4371dffbdcb45d971adda932f1,0,0.0,0.0367021964796154
4-2-353_jpg.rf.d67ece2d335275064193c12df9cf1b17,0,0.15061527604381625,0.12825723235677228
4-2-420_jpg.rf.9b4675d47069a2854d55865bc2e671f6,0,0.16651975077181505,0.11600465222710027
4-2-484_jpg.rf.ad066f93f9419de22020841ece2e60a9,0,0.004676738319178304,0.004691654683711094
4-2-503_jpg.rf.ebcaf8de8258b444d3d9e5d7b357c203,0,0.3012380283983424,0.2442390786830689
4-2-503_jpg.rf.ebcaf8de8258b444d3d9e5d7b357c203,1,0.24827487119223723,0.0
4-2-512_jpg.rf.34464444a0f2f524e221424a144fcc57,0,0.14090657535270562,0.09593474414814022
4-2-52_jpg.rf.0595dc6a73e75e06119ecda100809979,0,0.06654620115359743,0.11230428968072131
4-2-621_jpg.rf.6bcfc3d87d2969efe9602fa6fb2585b9,0,0.330830762578392,0.16068709714950807
4-2-680_jpg.rf.82d48eb1b69cfbe8943c261c565856ed,0,0.11871719325790826,0.12004598917950413
4-2-680_jpg.rf.82d48eb1b69cfbe8943c261c565856ed,1,0.0,0.0
4-2-697_jpg.rf.e1209189c673ee2828545d9c81845e8d,0,0.28921754250500115,0.09235224016174987
5-1-23_jpg.rf.87cde10fd60fd3020e0b832d00fd5f77,0,0.021663757408025282,0.07102893343600626
5-1-23_jpg.rf.87cde10fd60fd3020e0b832d00fd5f77,1,0.0,0.10148503536978551
5-1-34_jpg.rf.3b115b89f50eec6e691dda60b9444897,0,0.09382209953288684,0.039940883958473374
5-1-34_jpg.rf.3b115b89f50eec6e691dda60b9444897,1,0.12692333395121339,0.016019619172381674
5-1-48_jpg.rf.da026fbd3e08f9aacf31ba4c14d960bc,0,0.0,0.035594606571181506
5-1-56_jpg.rf.98effce82f19f8ec4add4ffd017bd566,0,0.0,0.0
5-1-66_jpg.rf.066bceb356d31dae9f89ceb02cd642cb,0,0.31013111881423205,0.2535585301266142
5-2-106_jpg.rf.7520316c3da889765c091ec48962ce30,0,0.1621103818552012,0.05972839854013657
5-2-120_jpg.rf.d06365fdf3c9f3c14026545f0b14bd5d,0,0.2993847020836042,0.20368064794953875
5-2-230_jpg.rf.8c8ebff0e0473e1e78995610bf3d0b0d,0,0.4961156619378451,0.22820677993022379
5-2-289_jpg.rf.bf8376968169f88acb10523114fc05c4,0,0.08827633071645258,0.2305063351138214
5-2-289_jpg.rf.bf8376968169f88acb10523114fc05c4,1,0.06901024193496702,0.0882379816506552
5-2-341_jpg.rf.4594c906a1acec3c27cf0614280e121b,0,0.043945510150180195,0.05366046818516508
