filename,instance_idx,oks,iou,conf,detected
1-1-109_jpg.rf.da7ed7e5b519c9060721c0ef613d2d26,0,0.9464300807989082,0.9090587402689313,0.8072170615196228,True
1-1-127_jpg.rf.e69f5e68d5113bd9c79026da5b0e5dc5,0,0.9914041051216639,0.9428976962550497,0.8895903825759888,True
1-1-141_jpg.rf.d7b5048ad008fe7807256ab2a03f5ed2,0,0.8516937488814621,0.8829634360530098,0.8980892300605774,True
1-1-145_jpg.rf.951d7dc3f96afb0de4604dc40a4c17c7,0,0.8135239088209115,0.8538562254504645,0.8349548578262329,True
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4,0,0.8005597059389906,0.8964460784313726,0.9068902730941772,True
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,0.957486213263992,0.9232142857142858,0.8695395588874817,True
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,0.9769805728836132,0.8894607843137254,0.8929165601730347,True
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,0.862057468641217,0.9013037388212477,0.8988856077194214,True
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,0.9379117836657641,0.8321513002364066,0.9013615846633911,True
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,0.7138226780495093,0.8521427994942293,0.8218268752098083,True
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,0.9816849529689501,0.8559782608695652,0.9027444124221802,True
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,0.958190445771072,0.9033816425120773,0.9004693627357483,True
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,0.9807664744444997,0.8720300489168413,0.9113966822624207,True
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,0.9721592630245652,0.9456118665018541,0.9227665662765503,True
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,0,0.9651896494663775,0.890686274509804,0.8895165324211121,True
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,1,0.9270136921700383,0.9143227239082161,0.8779876828193665,True
1-1-260_jpg.rf.3a23e0c3fdd69dd3bf7026e263b48969,0,0.9775439300091605,0.9343811994506332,0.9179540276527405,True
1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7,0,0.8829861551430693,0.8926938669887001,0.9072490334510803,True
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,0.9556986594534872,0.7875955819881053,0.8969427943229675,True
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,0.9591376555407939,0.95995581331124,0.8987475037574768,True
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,0.9717518929374694,0.912084737602311,0.9010828137397766,True
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,1,0.9479287866775722,0.899035543265664,0.8981000185012817,True
1-1-2_jpg.rf.6a4d644c96cba77436d6f06331758b3b,0,0.7174616474099413,0.6935063198020465,0.6038932800292969,True
1-1-32_jpg.rf.9414076b270f2b46a68890c2ccce6e97,0,0.8201321546564074,0.8304193928992814,0.8769376873970032,True
1-1-37_jpg.rf.e9b574dfa79a5ae6221543cf792a6cff,0,0.9683627667922572,0.8121131741821397,0.8569532036781311,True
1-1-41_jpg.rf.db53159c7083ee3b171aa93d1d8d2d17,0,0.8526992712813763,0.8689872550363162,0.8961369395256042,True
1-1-51_jpg.rf.e86b199bd9377617267d3c0df4d4b6bf,0,0.891085995876795,0.9246841593780369,0.8903754353523254,True
1-1-52_jpg.rf.4fa6a412ad5ccf565ae00102ec26ce38,0,0.7850972743243703,0.7927313321756388,0.8897001147270203,True
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,0,0.8909598120860295,0.8615021382751248,0.8395004868507385,True
1-1-53_jpg.rf.a1f9fa600d333f5e46f63e8a74e77268,1,0.7544627392955876,0.8182360544894104,0.7518606781959534,True
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,0,0.7106559109366545,0.7442946058091287,0.8762643337249756,True
1-1-67_jpg.rf.82057ced5d06e369f7619ed7e328bcf6,1,0.9416990657181823,0.8024718508092892,0.8570446372032166,True
1-1-69_jpg.rf.8f22e863c1d1c93963a04d9f321ab54d,0,0.7527202664439226,0.6849871544322699,0.8951497673988342,True
1-1-72_jpg.rf.65661d99090c08804adc7cf95aa21c14,0,0.9549676951458023,0.7897919080969416,0.8355134129524231,True
1-1-73_jpg.rf.9e7cb924fada67d0ea54ddb48c516fbd,0,0.7097261472131033,0.7777777777777778,0.8176600933074951,True
1-1-81_jpg.rf.c017f05100dc8b53236a8343d8076cf1,0,0.9897821465691329,0.8952927529153184,0.8853961825370789,True
1-1-98_jpg.rf.48a5b29ce36aac7f868f30e3edb51813,0,0.6192249594145685,0.6546286876907427,0.857180118560791,True
11053-B-02_0_jpg.rf.225d1a87c5a6154e3fd211e9503ac2ba,0,0.949995887901784,0.7035907859078591,0.8705624341964722,True
15459-B-01_0_jpg.rf.fbfab2000bda97069795ff68e3dbe0a3,0,0.9848389356980659,0.5908060244952003,0.8126992583274841,True
2-1-3_jpg.rf.600c3d0e8a0e8d03c9a9bda9ef0dadae,0,0.8858026237136021,0.6977758395115569,0.7538613080978394,True
2-1-47_jpg.rf.cbc5206f1e30668471fc9277e8e50a61,0,0.89944015627953,0.8910739542363358,0.611111581325531,True
2-1-5_jpg.rf.252d8507e25e45ff9d501ec983a9b595,0,0.9867101383700678,0.8511013215859031,0.8795245885848999,True
2-1-62_jpg.rf.cb5c0cc1e10dcd80fa1140fcb2944c8e,0,0.774678331356748,0.9171330096727569,0.8833847045898438,True
2-1-63_jpg.rf.5c93a08c867833beeb2383013ab66e65,0,0.97227990539699,0.889545646455133,0.8993265628814697,True
2-1-65_jpg.rf.7e8366b4605bf1d968e106ad77a38bef,0,0.9789671889361653,0.918396005617101,0.8965053558349609,True
2-1-67_jpg.rf.f7242e97204b3f5fcb56564691d3c147,0,0.8958657343893481,0.6344562647754137,0.7571089267730713,True
2-1-_jpg.rf.e7927f3070cffd724a65038c17c1848d,0,0.959042083071007,0.9330279232111692,0.8841614127159119,True
3-2-85_jpg.rf.a0abf6f74d3b7ecebec16e701933484b,0,0.6986487755099112,0.8101045296167247,0.7410178780555725,True
3-2-86_jpg.rf.ee7a35eaecc04fe892e7b09ba9239351,0,0.7205695950390295,0.8956631049654306,0.8608807325363159,True
