filename,instance_idx,uid,keypoint,error,outlier
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4,0,1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4#0,BL1,0.0273215397833767,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#0,AOI,0.010834368118032137,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#0,BL2,0.017406869185209773,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#0,IS2,0.013737663121853967,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#0,IAC,0.030724264447041117,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#0,IS1,0.022561814977122265,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,0,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#0,BL1,0.03855663891383881,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#1,AOI,0.019751749022432086,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#1,BL2,0.022282999803833834,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#1,IS2,0.01343089434926131,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#1,IAC,0.004865985618637402,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#1,IS1,0.0020160517475447197,False
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871,1,1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871#1,BL1,0.03258636619118641,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#0,AOI,0.01084353323832001,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#0,BL2,0.10038177714740662,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#0,IS2,0.003485691349994165,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#0,IAC,0.02473286538780433,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#0,IS1,0.012265900978013696,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,0,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#0,BL1,0.07983470852836465,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#1,AOI,0.01673470765235809,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#1,BL2,0.05903517827355826,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#1,IS2,0.0021958255495982287,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#1,IAC,0.011028133765724556,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#1,IS1,0.00447310193371427,False
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893,1,1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893#1,BL1,0.040327161284505364,False
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308#0,AOI,0.013277895258425184,False
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308#0,BL2,0.11009032316001512,False
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308#0,IS2,0.022497560851589875,False
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308#0,IAC,0.035764075767449124,False
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308#0,IS1,0.02771236612434979,False
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308,0,1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308#0,BL1,0.31620823224961336,True
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4#0,AOI,0.010401680588512163,False
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4#0,BL2,0.018712343956334802,False
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4#0,IS2,0.014545064039586263,False
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4#0,IAC,0.01502808072827059,False
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4#0,IS1,0.011825818630376529,False
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4,0,1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4#0,BL1,0.021967638875883128,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#0,AOI,0.012336325884923461,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#0,BL2,0.04367210831095052,False
