mode,n,ICC_A1,ICC_Ak,MAE_pp,pearson_r,ICC_A1_MBL1,ICC_A1_MBL2
proj,152,0.834,0.909,3.83,0.843,0.784,0.739
eucl,152,0.777,0.875,5.21,0.793,0.693,0.712
