image,iou,a_mbl1_proj,a_mbl2_proj,a_max_proj,a_mbl1_eucl,a_mbl2_eucl,a_max_eucl,b_mbl1_proj,b_mbl2_proj,b_max_proj,b_mbl1_eucl,b_mbl2_eucl,b_max_eucl
1-1-109_jpg.rf.da7ed7e5b519c9060721c0ef613d2d26.txt,0.7089225929017078,0.0,0.0,0.0,20.13718244247615,33.167240381681076,33.167240381681076,0.0,0.0,0.0,2.024725199816458,34.568878900574845,34.568878900574845
1-1-127_jpg.rf.e69f5e68d5113bd9c79026da5b0e5dc5.txt,0.964052492723042,7.179719967253788,3.9714610602458706,7.179719967253788,7.179741954094207,3.975968762320401,7.179741954094207,7.5406578543037535,3.961450552954241,7.5406578543037535,7.541081309141299,3.965615325290651,7.541081309141299
1-1-141_jpg.rf.d7b5048ad008fe7807256ab2a03f5ed2.txt,0.8446738368217481,19.429709358343693,6.886429585296426,19.429709358343693,21.05660323422201,7.444687377180889,21.05660323422201,13.904091984657338,13.223566655998347,13.904091984657338,15.70862850371195,15.175122427360805,15.70862850371195
1-1-145_jpg.rf.951d7dc3f96afb0de4604dc40a4c17c7.txt,0.8922105257515404,16.738584095974208,0.0,16.738584095974208,27.336953445137684,3.0795481895147483,27.336953445137684,17.07491734130727,0.0,17.07491734130727,22.252421727382448,0.44946767546985705,22.252421727382448
1-1-16_jpg.rf.97f3f5d3c510a3628c103ca2b28a79a4.txt,0.8415631814658513,33.31313263602681,3.2894151905421083,33.31313263602681,33.35405063525475,3.3082166783534706,33.35405063525475,32.13621241645344,1.420002989988404,32.13621241645344,32.35891918424704,1.5708070026553416,32.35891918424704
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871.txt,0.9173407426137641,9.134254217839006,3.6366271612802157,9.134254217839006,9.135576923778494,3.704477825390678,9.135576923778494,8.673536759564579,0.0,8.673536759564579,8.77805679313936,0.08369653886419062,8.77805679313936
1-1-189_jpg.rf.178301411e3d75b96dfc507a559ae871.txt,0.8927329481463311,4.461625506325861,2.129810250222012,4.461625506325861,4.489225555043446,2.445285374449758,4.489225555043446,0.7330088973259702,0.0,0.7330088973259702,0.7468236598459772,1.333789933811658,1.333789933811658
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893.txt,0.8807832251500469,0.0,0.0,0.0,7.525815983227939,6.449901969538304,7.525815983227939,2.099512997400805,1.0707956336479683,2.099512997400805,3.7188022082186607,1.4333397559803622,3.7188022082186607
1-1-19_jpg.rf.b1da52ef2375e4d3d93a98bdbaf3e893.txt,0.8082527334034183,0.0,0.0,0.0,3.9241483230569503,0.6608040753241703,3.9241483230569503,0.0,0.34544293127457043,0.34544293127457043,4.0445485397535705,0.42518437655192226,4.0445485397535705
1-1-200_jpg.rf.c958d3e85b454d3a411ba628a0f69308.txt,0.6165400731509708,0.0,0.0,0.0,25.76901505476718,2.50597744311763,25.76901505476718,4.149050528802043,8.875528716162512,8.875528716162512,6.7666664041164335,10.742532449650648,10.742532449650648
1-1-224_jpg.rf.d62ddd4113b13485c3871eede2a1f7a4.txt,0.8296906842351052,8.129307209841933,10.81600543681628,10.81600543681628,8.94882200462615,11.664214759634154,11.664214759634154,8.50789952810244,9.840645712523907,9.840645712523907,9.248348393756297,10.93756048959612,10.93756048959612
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1.txt,0.8404007154046861,3.864145852512287,4.341042030582938,4.341042030582938,4.847300370283243,5.03561671842313,5.03561671842313,1.7816438873230294,0.0,1.7816438873230294,2.8295516204224196,4.729901956852664,4.729901956852664
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1.txt,0.8302369638367425,8.339630058076743,2.670191834909456,8.339630058076743,9.492109024161065,4.104153247399494,9.492109024161065,0.6761002496413626,0.0,0.6761002496413626,0.7273086573064139,0.6358986862452615,0.7273086573064139
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0.txt,0.870714776784084,3.259087903469794,4.455830289718722,4.455830289718722,4.340703192951086,5.434657371175381,5.434657371175381,0.0,0.0,0.0,1.5487217006464635,0.953457277627897,1.5487217006464635
