keypoint,internal,n,sigma,sigma_trim95,sigma_per_annotator,source
AOI,apex,650,0.1045,0.0325,0.0739,"inter-observer, external set"
BL2,desni_kost,650,0.0576,0.0414,0.0407,"inter-observer, external set"
IS2,desni_vrh,650,0.1033,0.0277,0.0731,"inter-observer, external set"
IAC,vrh,650,0.1415,0.0707,0.1001,"inter-observer, external set"
IS1,lijevi_vrh,650,0.0245,0.0217,0.0173,"inter-observer, external set"
BL1,lijevi_kost,650,0.1415,0.078,0.1001,"inter-observer, external set"
